feature,source_dataset,n_present,n_imputed,imputation
pd_speech_DFA,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ea,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ea2,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed2_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed2_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed2_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed2_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed2_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed2_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed2_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed2_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed2_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed2_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_Ed_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_GNE_NSR_SEO,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_GNE_NSR_TKEO,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_GNE_SNR_SEO,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_GNE_SNR_TKEO,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_GNE_mean,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_GNE_std,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_GQ_prc5_95,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_GQ_std_cycle_closed,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_GQ_std_cycle_open,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_IMF_NSR_SEO,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_IMF_NSR_TKEO,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_IMF_NSR_entropy,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_IMF_SNR_SEO,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_IMF_SNR_TKEO,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_IMF_SNR_entropy,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_PPE,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_RPDE,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_VFER_NSR_SEO,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_VFER_NSR_TKEO,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_VFER_SNR_SEO,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_VFER_SNR_TKEO,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_VFER_entropy,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_VFER_mean,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_VFER_std,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_mean_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_mean_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_mean_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_mean_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_mean_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_mean_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_mean_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_mean_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_mean_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_mean_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_std_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_std_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_std_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_std_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_std_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_std_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_std_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_std_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_std_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_TKEO_std_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
